email,password,nombre
cli001@pruebas.mercadito.mx,Pruebas2026!,Juan Garcia
cli002@pruebas.mercadito.mx,Pruebas2026!,Maria Martinez
cli003@pruebas.mercadito.mx,Pruebas2026!,Pedro Lopez
cli004@pruebas.mercadito.mx,Pruebas2026!,Ana Rodriguez
cli005@pruebas.mercadito.mx,Pruebas2026!,Luis Hernandez
cli006@pruebas.mercadito.mx,Pruebas2026!,Carmen Perez
cli007@pruebas.mercadito.mx,Pruebas2026!,Jose Sanchez
cli008@pruebas.mercadito.mx,Pruebas2026!,Guadalupe Ramirez
cli009@pruebas.mercadito.mx,Pruebas2026!,Miguel Flores
cli010@pruebas.mercadito.mx,Pruebas2026!,Sofia Cruz
cli011@pruebas.mercadito.mx,Pruebas2026!,Carlos Morales
cli012@pruebas.mercadito.mx,Pruebas2026!,Rosa Gomez
cli013@pruebas.mercadito.mx,Pruebas2026!,Fernando Reyes
cli014@pruebas.mercadito.mx,Pruebas2026!,Lucia Diaz
cli015@pruebas.mercadito.mx,Pruebas2026!,Jorge Torres
cli016@pruebas.mercadito.mx,Pruebas2026!,Elena Gonzalez
cli017@pruebas.mercadito.mx,Pruebas2026!,Ricardo Vazquez
cli018@pruebas.mercadito.mx,Pruebas2026!,Patricia Castillo
cli019@pruebas.mercadito.mx,Pruebas2026!,Roberto Mendoza
cli020@pruebas.mercadito.mx,Pruebas2026!,Teresa Ramos
cli021@pruebas.mercadito.mx,Pruebas2026!,Alejandro Ortiz
cli022@pruebas.mercadito.mx,Pruebas2026!,Veronica Moreno
cli023@pruebas.mercadito.mx,Pruebas2026!,Daniel Jimenez
cli024@pruebas.mercadito.mx,Pruebas2026!,Monica Castro
cli025@pruebas.mercadito.mx,Pruebas2026!,Francisco Rivera
cli026@pruebas.mercadito.mx,Pruebas2026!,Gabriela Medina
cli027@pruebas.mercadito.mx,Pruebas2026!,Eduardo Vargas
cli028@pruebas.mercadito.mx,Pruebas2026!,Claudia Romero
cli029@pruebas.mercadito.mx,Pruebas2026!,Manuel Herrera
cli030@pruebas.mercadito.mx,Pruebas2026!,Adriana Aguilar
cli031@pruebas.mercadito.mx,Pruebas2026!,Arturo Chavez
cli032@pruebas.mercadito.mx,Pruebas2026!,Silvia Mendoza
cli033@pruebas.mercadito.mx,Pruebas2026!,Gerardo Salazar
cli034@pruebas.mercadito.mx,Pruebas2026!,Leticia Gutierrez
cli035@pruebas.mercadito.mx,Pruebas2026!,Raul Ruiz
cli036@pruebas.mercadito.mx,Pruebas2026!,Marta Delgado
cli037@pruebas.mercadito.mx,Pruebas2026!,Sergio Nunez
cli038@pruebas.mercadito.mx,Pruebas2026!,Diana Campos
cli039@pruebas.mercadito.mx,Pruebas2026!,Mario Miranda
cli040@pruebas.mercadito.mx,Pruebas2026!,Andrea Soto
cli041@pruebas.mercadito.mx,Pruebas2026!,Oscar Garcia
cli042@pruebas.mercadito.mx,Pruebas2026!,Paola Martinez
cli043@pruebas.mercadito.mx,Pruebas2026!,Hector Lopez
cli044@pruebas.mercadito.mx,Pruebas2026!,Natalia Rodriguez
cli045@pruebas.mercadito.mx,Pruebas2026!,Alfredo Hernandez
cli046@pruebas.mercadito.mx,Pruebas2026!,Yolanda Perez
cli047@pruebas.mercadito.mx,Pruebas2026!,Julio Sanchez
cli048@pruebas.mercadito.mx,Pruebas2026!,Alicia Ramirez
cli049@pruebas.mercadito.mx,Pruebas2026!,Victor Flores
cli050@pruebas.mercadito.mx,Pruebas2026!,Pilar Cruz
cli051@pruebas.mercadito.mx,Pruebas2026!,Enrique Morales
cli052@pruebas.mercadito.mx,Pruebas2026!,Lourdes Gomez
cli053@pruebas.mercadito.mx,Pruebas2026!,Felipe Reyes
cli054@pruebas.mercadito.mx,Pruebas2026!,Esperanza Diaz
cli055@pruebas.mercadito.mx,Pruebas2026!,Andres Torres
cli056@pruebas.mercadito.mx,Pruebas2026!,Isabel Gonzalez
cli057@pruebas.mercadito.mx,Pruebas2026!,Ramon Vazquez
cli058@pruebas.mercadito.mx,Pruebas2026!,Angela Castillo
cli059@pruebas.mercadito.mx,Pruebas2026!,Antonio Mendoza
cli060@pruebas.mercadito.mx,Pruebas2026!,Norma Ramos
cli061@pruebas.mercadito.mx,Pruebas2026!,Diego Ortiz
cli062@pruebas.mercadito.mx,Pruebas2026!,Cristina Moreno
cli063@pruebas.mercadito.mx,Pruebas2026!,Jesus Jimenez
cli064@pruebas.mercadito.mx,Pruebas2026!,Susana Castro
cli065@pruebas.mercadito.mx,Pruebas2026!,Pablo Rivera
cli066@pruebas.mercadito.mx,Pruebas2026!,Liliana Medina
cli067@pruebas.mercadito.mx,Pruebas2026!,Javier Vargas
cli068@pruebas.mercadito.mx,Pruebas2026!,Valentina Romero
cli069@pruebas.mercadito.mx,Pruebas2026!,Emilio Herrera
cli070@pruebas.mercadito.mx,Pruebas2026!,Camila Aguilar
cli071@pruebas.mercadito.mx,Pruebas2026!,Gustavo Chavez
cli072@pruebas.mercadito.mx,Pruebas2026!,Daniela Mendoza
cli073@pruebas.mercadito.mx,Pruebas2026!,Agustin Salazar
cli074@pruebas.mercadito.mx,Pruebas2026!,Ximena Gutierrez
cli075@pruebas.mercadito.mx,Pruebas2026!,Ruben Ruiz
cli076@pruebas.mercadito.mx,Pruebas2026!,Renata Delgado
cli077@pruebas.mercadito.mx,Pruebas2026!,Martin Nunez
cli078@pruebas.mercadito.mx,Pruebas2026!,Jimena Campos
cli079@pruebas.mercadito.mx,Pruebas2026!,Tomas Miranda
cli080@pruebas.mercadito.mx,Pruebas2026!,Abril Soto
cli081@pruebas.mercadito.mx,Pruebas2026!,Juan Garcia
cli082@pruebas.mercadito.mx,Pruebas2026!,Maria Martinez
cli083@pruebas.mercadito.mx,Pruebas2026!,Pedro Lopez
cli084@pruebas.mercadito.mx,Pruebas2026!,Ana Rodriguez
cli085@pruebas.mercadito.mx,Pruebas2026!,Luis Hernandez
cli086@pruebas.mercadito.mx,Pruebas2026!,Carmen Perez
cli087@pruebas.mercadito.mx,Pruebas2026!,Jose Sanchez
cli088@pruebas.mercadito.mx,Pruebas2026!,Guadalupe Ramirez
cli089@pruebas.mercadito.mx,Pruebas2026!,Miguel Flores
cli090@pruebas.mercadito.mx,Pruebas2026!,Sofia Cruz
cli091@pruebas.mercadito.mx,Pruebas2026!,Carlos Morales
cli092@pruebas.mercadito.mx,Pruebas2026!,Rosa Gomez
cli093@pruebas.mercadito.mx,Pruebas2026!,Fernando Reyes
cli094@pruebas.mercadito.mx,Pruebas2026!,Lucia Diaz
cli095@pruebas.mercadito.mx,Pruebas2026!,Jorge Torres
cli096@pruebas.mercadito.mx,Pruebas2026!,Elena Gonzalez
cli097@pruebas.mercadito.mx,Pruebas2026!,Ricardo Vazquez
cli098@pruebas.mercadito.mx,Pruebas2026!,Patricia Castillo
cli099@pruebas.mercadito.mx,Pruebas2026!,Roberto Mendoza
cli100@pruebas.mercadito.mx,Pruebas2026!,Teresa Ramos
