email,password,nombre
del001@pruebas.mercadito.mx,Pruebas2026!,Juan Garcia
del002@pruebas.mercadito.mx,Pruebas2026!,Maria Martinez
del003@pruebas.mercadito.mx,Pruebas2026!,Pedro Lopez
del004@pruebas.mercadito.mx,Pruebas2026!,Ana Rodriguez
del005@pruebas.mercadito.mx,Pruebas2026!,Luis Hernandez
del006@pruebas.mercadito.mx,Pruebas2026!,Carmen Perez
del007@pruebas.mercadito.mx,Pruebas2026!,Jose Sanchez
del008@pruebas.mercadito.mx,Pruebas2026!,Guadalupe Ramirez
del009@pruebas.mercadito.mx,Pruebas2026!,Miguel Flores
del010@pruebas.mercadito.mx,Pruebas2026!,Sofia Cruz
del011@pruebas.mercadito.mx,Pruebas2026!,Carlos Morales
del012@pruebas.mercadito.mx,Pruebas2026!,Rosa Gomez
del013@pruebas.mercadito.mx,Pruebas2026!,Fernando Reyes
del014@pruebas.mercadito.mx,Pruebas2026!,Lucia Diaz
del015@pruebas.mercadito.mx,Pruebas2026!,Jorge Torres
del016@pruebas.mercadito.mx,Pruebas2026!,Elena Gonzalez
del017@pruebas.mercadito.mx,Pruebas2026!,Ricardo Vazquez
del018@pruebas.mercadito.mx,Pruebas2026!,Patricia Castillo
del019@pruebas.mercadito.mx,Pruebas2026!,Roberto Mendoza
del020@pruebas.mercadito.mx,Pruebas2026!,Teresa Ramos
del021@pruebas.mercadito.mx,Pruebas2026!,Alejandro Ortiz
del022@pruebas.mercadito.mx,Pruebas2026!,Veronica Moreno
del023@pruebas.mercadito.mx,Pruebas2026!,Daniel Jimenez
del024@pruebas.mercadito.mx,Pruebas2026!,Monica Castro
del025@pruebas.mercadito.mx,Pruebas2026!,Francisco Rivera
del026@pruebas.mercadito.mx,Pruebas2026!,Gabriela Medina
del027@pruebas.mercadito.mx,Pruebas2026!,Eduardo Vargas
del028@pruebas.mercadito.mx,Pruebas2026!,Claudia Romero
del029@pruebas.mercadito.mx,Pruebas2026!,Manuel Herrera
del030@pruebas.mercadito.mx,Pruebas2026!,Adriana Aguilar
del031@pruebas.mercadito.mx,Pruebas2026!,Arturo Chavez
del032@pruebas.mercadito.mx,Pruebas2026!,Silvia Mendoza
del033@pruebas.mercadito.mx,Pruebas2026!,Gerardo Salazar
del034@pruebas.mercadito.mx,Pruebas2026!,Leticia Gutierrez
del035@pruebas.mercadito.mx,Pruebas2026!,Raul Ruiz
del036@pruebas.mercadito.mx,Pruebas2026!,Marta Delgado
